名稱,縣市,緯度,經度,is_indoor,設施類型,最近測站,測站AQI,距離(km),風險等級
大同國民國小,彰化縣伸港鄉,24.1625,120.4845,True,室內,線西,32,3.77,Normal
瑞井社區活動中心,臺中市大肚區,24.16335,120.572365,True,室內,西屯,27,4.52,Normal
臺中市新社區福民國小,臺中市新社區,24.163651,120.880962,True,室內,豐原,22,17.46,Normal
溫泉部落鄰長家,南投縣仁愛鄉,24.163778,121.180117,True,室內,埔里,32,30.56,Normal
惠來國小（三期活動中心、操場）,臺中市西屯區,24.16493,120.6497,False,室外,臺灣大道,38,0.98,Normal
海尾社區活動中心,彰化縣伸港鄉,24.165165,120.485127,True,室內,線西,32,4.07,Normal
西屯區公所,臺中市西屯區,24.165436,120.633793,True,室內,忠明,29,1.67,Normal
臺中市北區明德活動中心,臺中市北區,24.1657,120.6694,True,室內,臺灣大道,38,1.49,Normal
臺中市北區行政大樓,臺中市北區,24.166,120.6822,True,室內,臺灣大道,38,2.7,Normal
臺中市立東山高級中學禮堂、操場,臺中市北屯區,24.1666,120.7122,False,室外,臺灣大道,38,5.69,Normal
定興社區活動中心,彰化縣伸港鄉,24.166813,120.496962,True,室內,線西,32,4.83,Normal
臺中市立三光國民中學（禮堂、操場）,臺中市北屯區,24.167354,120.698404,False,室外,臺灣大道,38,4.33,Normal
文昌國民小學（活動中心-弘文堂、操場）,臺中市北屯區,24.168188,120.693207,False,室外,臺灣大道,38,3.84,Normal
中山國中（操場）,臺中市西屯區,24.168445,120.660187,False,室外,臺灣大道,38,1.12,Normal
逢甲國民小學（操場、校舍頂樓）,臺中市北屯區,24.168462,120.759755,False,室外,豐原,22,10.0,Normal
臺中市北區長青里活動中心,臺中市北區,24.1691,120.6685,True,室內,臺灣大道,38,1.65,Normal
長安國小（操場跑道）,臺中市西屯區,24.169105,120.653078,False,室外,臺灣大道,38,1.19,Normal
何福、何德里聯合活動中心,臺中市西屯區,24.169681,120.662291,True,室內,臺灣大道,38,1.33,Normal
協和國小（學生活動中心、操場）,臺中市西屯區,24.169862,120.620071,False,室外,西屯,27,0.91,Normal
四維國民小學（活動中心）,臺中市北屯區,24.170777,120.695314,True,室內,臺灣大道,38,4.13,Normal
